Individual Taxon Population
ECSC_par_157_S347 parviflorus ECSC
ECSC_par_179_S276 parviflorus ECSC
ECSC_par_183_S287 parviflorus ECSC
LON_DPR_Y3_S34_L003 longiflorus mainland_longiflorus
LON_SS_Y16_S39_L003 longiflorus mainland_longiflorus
LON_T33_1_S41_L003 longiflorus mainland_longiflorus
LON_T8_8_S50_L003 longiflorus mainland_longiflorus
PAR_KK161_S6_L006 admixed ECSC
PAR_KK168_S32_L003 parviflorus ECSC
PAR_KK180_S22_L006 parviflorus ECSC
PAR_KK182_S16_L006 parviflorus ECSC
RUT_DPR_R12_S53_L003 longiflorus mainland_longiflorus_red
RUT_MBR4_R3_S42_L003 longiflorus mainland_longiflorus_red
RUT_SS_R19_S45_L003 longiflorus mainland_longiflorus_red
SC2_hyb_203_S320 island_longiflorus SC2
SC2_lon_163_S278 island_longiflorus SC2
SC2_lon_164_S289 island_longiflorus SC2
SC2_lon_197_S300 island_longiflorus SC2
SC2_lon_199_S311 island_longiflorus SC2
SC2_lon_200_S321 island_longiflorus SC2
SC2_lon_202_S331 island_longiflorus SC2
SC2_lon_204_S340 island_longiflorus SC2
SC3_hyb_105_S339 parviflorus SC3
SC3_hyb_177_S277 admixed SC3
SC3_hyb_178_S288 admixed SC3
SC3_par_100_S309 parviflorus SC3
SC3_par_170_S319 parviflorus SC3
SC3_par_173_S329 parviflorus SC3
SC3_par_97_S298 parviflorus SC3
SCB_hyb_208_S349 parviflorus SCB
SCB_hyb_211_S330 admixed SCB
SCB_hyb_216_S299 admixed SCB
SCB_hyb_226_S310 admixed SCB
SCB_lon_207_S350 admixed SCB
SCB_lon_209_S279 admixed SCB
SCB_lon_218_S290 admixed SCB
SCB_lon_221_S301 admixed SCB
SCB_par_219_S348 admixed SCB
